feature,coefficients/importance
numerical_transformer__MSSubClass,-3011.4748114357403
numerical_transformer__LotFrontage,529.8012820442275
numerical_transformer__LotArea,10975.091795602322
numerical_transformer__OverallQual,9086.669866471628
numerical_transformer__OverallCond,6503.189290335082
numerical_transformer__YearBuilt,6300.950051797911
numerical_transformer__YearRemodAdd,3257.1593585177784
numerical_transformer__MasVnrArea,-791.5623867284585
numerical_transformer__BsmtFinSF1,3254.112278180328
numerical_transformer__BsmtFinSF2,-2722.5123341671087
numerical_transformer__BsmtUnfSF,-4485.043944240054
numerical_transformer__TotalBsmtSF,14819.41838811951
numerical_transformer__1stFlrSF,8678.995377814103
numerical_transformer__2ndFlrSF,13210.463402074825
numerical_transformer__LowQualFinSF,-518.1819876272258
numerical_transformer__GrLivArea,4092.655160277362
numerical_transformer__BsmtFullBath,-43.860552167369555
numerical_transformer__BsmtHalfBath,659.0185496231844
numerical_transformer__FullBath,5650.840922468742
numerical_transformer__HalfBath,2915.851758095153
numerical_transformer__BedroomAbvGr,-1320.0684393285708
numerical_transformer__KitchenAbvGr,-1864.5573913330327
numerical_transformer__TotRmsAbvGrd,3727.8304230499016
numerical_transformer__Fireplaces,10772.05451795075
numerical_transformer__GarageYrBlt,-19414.330769254917
numerical_transformer__GarageCars,3876.3711679884495
numerical_transformer__GarageArea,5381.1002112051565
numerical_transformer__WoodDeckSF,1322.5163971324646
numerical_transformer__OpenPorchSF,173.6592747058698
numerical_transformer__EnclosedPorch,584.8271719608484
numerical_transformer__3SsnPorch,908.4957338455326
numerical_transformer__ScreenPorch,734.4948587129647
numerical_transformer__PoolArea,9171.861910271808
numerical_transformer__MiscVal,-3746.81913063321
numerical_transformer__MoSold,-1904.169310183776
numerical_transformer__YrSold,-737.8332597116604
categorical_transformer__MSZoning_C (all),-27030.55557193626
categorical_transformer__MSZoning_FV,14305.499287659037
categorical_transformer__MSZoning_RH,7249.994319518016
categorical_transformer__MSZoning_RL,-441.1258645007289
categorical_transformer__MSZoning_RM,5916.1878292421625
categorical_transformer__Street_Grvl,-15237.416896641122
categorical_transformer__Street_Pave,15237.416896635734
categorical_transformer__Alley_Grvl,-2289.373402312139
categorical_transformer__Alley_N/A,-3300.2104923619045
categorical_transformer__Alley_Pave,5589.583894646874
categorical_transformer__LotShape_IR1,-4823.055002527018
categorical_transformer__LotShape_IR2,1074.2438531325904
categorical_transformer__LotShape_IR3,6847.562966295329
categorical_transformer__LotShape_Reg,-3098.751816886055
categorical_transformer__LandContour_Bnk,-497.5973509902956
categorical_transformer__LandContour_HLS,6517.250387330662
categorical_transformer__LandContour_Low,-12142.601616360525
categorical_transformer__LandContour_Lvl,6122.9485800080165
categorical_transformer__Utilities_AllPub,18250.484478933697
categorical_transformer__Utilities_NoSeWa,-18250.484478937626
categorical_transformer__LotConfig_Corner,10872.08018234472
categorical_transformer__LotConfig_CulDSac,20364.8006511414
categorical_transformer__LotConfig_FR2,-5772.354631718913
categorical_transformer__LotConfig_FR3,-34564.499751841824
categorical_transformer__LotConfig_Inside,9099.973550080198
categorical_transformer__LandSlope_Gtl,2305.2198151712378
categorical_transformer__LandSlope_Mod,10367.129290307803
categorical_transformer__LandSlope_Sev,-12672.349105517975
categorical_transformer__Neighborhood_Blmngtn,12320.87141735667
categorical_transformer__Neighborhood_Blueste,24608.48006632885
categorical_transformer__Neighborhood_BrDale,5725.960492609883
categorical_transformer__Neighborhood_BrkSide,-6451.4341738776
categorical_transformer__Neighborhood_ClearCr,-14800.389336980536
categorical_transformer__Neighborhood_CollgCr,-9945.991876092428
categorical_transformer__Neighborhood_Crawfor,15273.889284497049
categorical_transformer__Neighborhood_Edwards,-21928.8429379467
categorical_transformer__Neighborhood_Gilbert,-13716.088007715256
categorical_transformer__Neighborhood_IDOTRR,-17891.381813093452
categorical_transformer__Neighborhood_MeadowV,7992.217891099808
categorical_transformer__Neighborhood_Mitchel,-26263.24504615058
categorical_transformer__Neighborhood_NAmes,-14853.210117748387
categorical_transformer__Neighborhood_NPkVill,21394.321968968638
categorical_transformer__Neighborhood_NWAmes,-21601.74220426218
categorical_transformer__Neighborhood_NoRidge,47273.64084727228
categorical_transformer__Neighborhood_NridgHt,19706.828034167072
categorical_transformer__Neighborhood_OldTown,-19246.445738592036
categorical_transformer__Neighborhood_SWISU,-6656.822861474011
categorical_transformer__Neighborhood_Sawyer,-11341.579126267643
categorical_transformer__Neighborhood_SawyerW,-2354.2290271425027
categorical_transformer__Neighborhood_Somerst,-6156.943331710355
categorical_transformer__Neighborhood_StoneBr,52488.304791633025
categorical_transformer__Neighborhood_Timber,-10917.057079849032
categorical_transformer__Neighborhood_Veenker,-2659.1121150228355
categorical_transformer__Condition1_Artery,-7366.275218781928
categorical_transformer__Condition1_Feedr,3414.8335620566377
categorical_transformer__Condition1_Norm,8828.079654668805
categorical_transformer__Condition1_PosA,9374.386820381278
categorical_transformer__Condition1_PosN,9654.451146338906
categorical_transformer__Condition1_RRAe,-24847.118171738573
categorical_transformer__Condition1_RRAn,1938.7924479049261
categorical_transformer__Condition1_RRNe,-15971.099812485985
categorical_transformer__Condition1_RRNn,14973.9495716341
categorical_transformer__Condition2_Artery,42812.52125832913
categorical_transformer__Condition2_Feedr,36915.89196741849
categorical_transformer__Condition2_Norm,28070.469119075737
categorical_transformer__Condition2_PosN,-144837.62382470415
categorical_transformer__Condition2_RRAe,-17210.23828228939
categorical_transformer__Condition2_RRAn,22532.128922987053
categorical_transformer__Condition2_RRNn,31716.850839174473
categorical_transformer__BldgType_1Fam,8984.570529123073
categorical_transformer__BldgType_2fmCon,-4938.463687543281
categorical_transformer__BldgType_Duplex,-4769.877522707032
categorical_transformer__BldgType_Twnhs,1820.763949663404
categorical_transformer__BldgType_TwnhsE,-1096.993268535412
categorical_transformer__HouseStyle_1.5Fin,-4304.807593194744
categorical_transformer__HouseStyle_1.5Unf,14501.853749984666
categorical_transformer__HouseStyle_1Story,-833.7194310409579
categorical_transformer__HouseStyle_2.5Fin,-3557.740925380484
categorical_transformer__HouseStyle_2.5Unf,-4913.154309075702
categorical_transformer__HouseStyle_2Story,-181.79601853807654
categorical_transformer__HouseStyle_SFoyer,823.2015692861928
categorical_transformer__HouseStyle_SLvl,-1533.8370420677743
categorical_transformer__RoofStyle_Flat,-10442.166379230055
categorical_transformer__RoofStyle_Gable,-7797.899662929401
categorical_transformer__RoofStyle_Gambrel,-7511.476445209697
categorical_transformer__RoofStyle_Hip,-5551.287817082925
categorical_transformer__RoofStyle_Mansard,-1822.732594625636
categorical_transformer__RoofStyle_Shed,33125.562899078184
categorical_transformer__RoofMatl_ClyTile,-486223.03682239313
categorical_transformer__RoofMatl_CompShg,65732.4496057519
categorical_transformer__RoofMatl_Metal,84124.13946414023
categorical_transformer__RoofMatl_Roll,58964.62993893785
categorical_transformer__RoofMatl_Tar&Grv,61278.573331931555
categorical_transformer__RoofMatl_WdShake,77723.31381408543
categorical_transformer__RoofMatl_WdShngl,138399.93066754416
categorical_transformer__Exterior1st_AsbShng,-1923.776637372595
categorical_transformer__Exterior1st_AsphShn,-20364.214082501036
categorical_transformer__Exterior1st_BrkComm,17670.34385520896
categorical_transformer__Exterior1st_BrkFace,13023.421573079415
categorical_transformer__Exterior1st_CBlock,1653.6425804686232
categorical_transformer__Exterior1st_CemntBd,27735.330287149198
categorical_transformer__Exterior1st_HdBoard,-5460.5371440656845
categorical_transformer__Exterior1st_MetalSd,-3632.198368766068
categorical_transformer__Exterior1st_Plywood,-4041.950577736166
categorical_transformer__Exterior1st_Stone,-340.4137956417009
categorical_transformer__Exterior1st_Stucco,-2268.642180596545
categorical_transformer__Exterior1st_VinylSd,-7836.778204317869
categorical_transformer__Exterior1st_Wd Sdng,-9097.135705052198
categorical_transformer__Exterior1st_WdShing,-5117.0915998507535
categorical_transformer__Exterior2nd_AsbShng,6650.012262546316
categorical_transformer__Exterior2nd_AsphShn,14558.280287194662
categorical_transformer__Exterior2nd_Brk Cmn,-10639.128016302968
categorical_transformer__Exterior2nd_BrkFace,8612.580634817097
categorical_transformer__Exterior2nd_CBlock,1653.6425804686232
categorical_transformer__Exterior2nd_CmentBd,-29741.990707265508
categorical_transformer__Exterior2nd_HdBoard,2129.7263400808374
categorical_transformer__Exterior2nd_ImStucc,7204.926433327977
categorical_transformer__Exterior2nd_MetalSd,3499.0816501225154
categorical_transformer__Exterior2nd_Other,-30843.011178266217
categorical_transformer__Exterior2nd_Plywood,-537.1581894850226
categorical_transformer__Exterior2nd_Stone,2448.2302602049654
categorical_transformer__Exterior2nd_Stucco,10798.407840982136
categorical_transformer__Exterior2nd_VinylSd,7983.116712895326
categorical_transformer__Exterior2nd_Wd Sdng,5813.357626436899
categorical_transformer__Exterior2nd_Wd Shng,409.9254622298474
categorical_transformer__MasVnrType_BrkCmn,-5185.089174226755
categorical_transformer__MasVnrType_BrkFace,2451.607354932086
categorical_transformer__MasVnrType_N/A,-2286.055139958857
categorical_transformer__MasVnrType_Stone,5019.536959353551
categorical_transformer__ExterQual_Ex,14856.469646936084
categorical_transformer__ExterQual_Fa,1891.686849006842
categorical_transformer__ExterQual_Gd,-8853.10154894146
categorical_transformer__ExterQual_TA,-7895.05494702567
categorical_transformer__ExterCond_Ex,-17187.10925130732
categorical_transformer__ExterCond_Fa,-3145.189292920581
categorical_transformer__ExterCond_Gd,-2089.4962430892856
categorical_transformer__ExterCond_Po,24575.567596742236
categorical_transformer__ExterCond_TA,-2153.772809422145
categorical_transformer__Foundation_BrkTil,-5184.1967838897535
categorical_transformer__Foundation_CBlock,1160.7163432631262
categorical_transformer__Foundation_PConc,3776.127602737261
categorical_transformer__Foundation_Slab,-539.2277473545325
categorical_transformer__Foundation_Stone,4458.785059532551
categorical_transformer__Foundation_Wood,-3672.204474255541
categorical_transformer__BsmtQual_Ex,14544.493099181964
categorical_transformer__BsmtQual_Fa,-4564.860775151243
categorical_transformer__BsmtQual_Gd,-9615.805950025066
categorical_transformer__BsmtQual_N/A,7254.8337130186
categorical_transformer__BsmtQual_TA,-7618.660087027641
categorical_transformer__BsmtCond_Fa,-20903.680160713124
categorical_transformer__BsmtCond_Gd,-19123.85055748417
categorical_transformer__BsmtCond_N/A,7254.8337130186
categorical_transformer__BsmtCond_Po,47476.66830550961
categorical_transformer__BsmtCond_TA,-14703.971300337696
categorical_transformer__BsmtExposure_Av,3788.743068976633
categorical_transformer__BsmtExposure_Gd,19256.081495189694
categorical_transformer__BsmtExposure_Mn,-1547.4705164518844
categorical_transformer__BsmtExposure_N/A,-17333.60159287888
categorical_transformer__BsmtExposure_No,-4163.752454826848
categorical_transformer__BsmtFinType1_ALQ,-845.3263102168474
categorical_transformer__BsmtFinType1_BLQ,-512.5937378283691
categorical_transformer__BsmtFinType1_GLQ,4224.917812450277
categorical_transformer__BsmtFinType1_LwQ,-7157.723556768441
categorical_transformer__BsmtFinType1_N/A,7254.8337130186
categorical_transformer__BsmtFinType1_Rec,-2259.374538114443
categorical_transformer__BsmtFinType1_Unf,-704.7333825704065
categorical_transformer__BsmtFinType2_ALQ,7971.801841193786
categorical_transformer__BsmtFinType2_BLQ,-1681.5043144608642
categorical_transformer__BsmtFinType2_GLQ,12023.014466493909
categorical_transformer__BsmtFinType2_LwQ,-814.923010323135
categorical_transformer__BsmtFinType2_N/A,-11273.671995447383
categorical_transformer__BsmtFinType2_Rec,-767.6679392975072
categorical_transformer__BsmtFinType2_Unf,-5457.049048176536
categorical_transformer__Heating_Floor,7751.71918617164
categorical_transformer__Heating_GasA,244.2600420066308
categorical_transformer__Heating_GasW,5063.449450591231
categorical_transformer__Heating_Grav,-2205.8269502428316
categorical_transformer__Heating_OthW,-13758.299831359745
categorical_transformer__Heating_Wall,2904.698102807709
categorical_transformer__HeatingQC_Ex,3634.633094672238
categorical_transformer__HeatingQC_Fa,-1820.407299262652
categorical_transformer__HeatingQC_Gd,-2207.4675862470385
categorical_transformer__HeatingQC_TA,393.2417909253701
categorical_transformer__CentralAir_N,1494.655862849184
categorical_transformer__CentralAir_Y,-1494.6558628384912
categorical_transformer__Electrical_FuseA,5969.283120862466
categorical_transformer__Electrical_FuseF,3704.3215032962194
categorical_transformer__Electrical_FuseP,417.98419949044876
categorical_transformer__Electrical_Mix,-11342.586930061392
categorical_transformer__Electrical_SBrkr,1250.9981064364968
categorical_transformer__KitchenQual_Ex,12817.228631064894
categorical_transformer__KitchenQual_Fa,649.8830417616107
categorical_transformer__KitchenQual_Gd,-7233.963399975807
categorical_transformer__KitchenQual_TA,-6233.148272874926
categorical_transformer__Functional_Maj1,2368.7620510602173
categorical_transformer__Functional_Maj2,-3041.914158795347
categorical_transformer__Functional_Min1,7988.636797386144
categorical_transformer__Functional_Min2,5511.871900048667
categorical_transformer__Functional_Mod,-3315.4290293009944
categorical_transformer__Functional_Sev,-26033.744456056043
categorical_transformer__Functional_Typ,16521.816895672717
categorical_transformer__FireplaceQu_Ex,5878.4197921577015
categorical_transformer__FireplaceQu_Fa,-8107.069868001688
categorical_transformer__FireplaceQu_Gd,-3538.305996036555
categorical_transformer__FireplaceQu_N/A,14342.638384161359
categorical_transformer__FireplaceQu_Po,-5173.849753721976
categorical_transformer__FireplaceQu_TA,-3401.832558624904
categorical_transformer__GarageType_2Types,-6712.162445166798
categorical_transformer__GarageType_Attchd,1158.2228199819847
categorical_transformer__GarageType_Basment,4976.689950792098
categorical_transformer__GarageType_BuiltIn,8719.753035597347
categorical_transformer__GarageType_CarPort,-1413.4534481618373
categorical_transformer__GarageType_Detchd,5070.332224272798
categorical_transformer__GarageType_N/A,-11799.382137307535
categorical_transformer__GarageFinish_Fin,4723.362565753144
categorical_transformer__GarageFinish_N/A,-11799.382137307535
categorical_transformer__GarageFinish_RFn,2162.3450073462013
categorical_transformer__GarageFinish_Unf,4913.6745642431615
categorical_transformer__GarageQual_Ex,10811.125220550735
categorical_transformer__GarageQual_Fa,5346.6210678421185
categorical_transformer__GarageQual_Gd,5937.258384808038
categorical_transformer__GarageQual_N/A,-11799.382137307535
categorical_transformer__GarageQual_Po,-19873.389483853636
categorical_transformer__GarageQual_TA,9577.766948040813
categorical_transformer__GarageCond_Ex,10811.125220550735
categorical_transformer__GarageCond_Fa,-3636.8916851586655
categorical_transformer__GarageCond_Gd,-526.4053791970566
categorical_transformer__GarageCond_N/A,-11799.382137307535
categorical_transformer__GarageCond_Po,2899.644757377097
categorical_transformer__GarageCond_TA,2251.909223810443
categorical_transformer__PavedDrive_N,3014.8434133496744
categorical_transformer__PavedDrive_P,-4524.82638179089
categorical_transformer__PavedDrive_Y,1509.9829684461977
categorical_transformer__PoolQC_Ex,128721.15863555815
categorical_transformer__PoolQC_Fa,-64148.48144952313
categorical_transformer__PoolQC_Gd,-64035.70782451467
categorical_transformer__PoolQC_N/A,-536.9693615359483
categorical_transformer__Fence_GdPrv,-3940.0357509429077
categorical_transformer__Fence_GdWo,4065.767701434799
categorical_transformer__Fence_MnPrv,4817.58721170264
categorical_transformer__Fence_MnWw,-7284.330921656881
categorical_transformer__Fence_N/A,2341.011759437455
categorical_transformer__MiscFeature_Gar2,13381.850495840748
categorical_transformer__MiscFeature_N/A,834.9939775234863
categorical_transformer__MiscFeature_Othr,24941.17595322382
categorical_transformer__MiscFeature_Shed,24990.461022922995
categorical_transformer__MiscFeature_TenC,-64148.48144952313
categorical_transformer__SaleType_COD,-5781.239883046135
categorical_transformer__SaleType_CWD,-25785.203254297267
categorical_transformer__SaleType_Con,29282.259096210837
categorical_transformer__SaleType_ConLD,21490.137289874943
categorical_transformer__SaleType_ConLI,-3091.215079226758
categorical_transformer__SaleType_ConLw,-16460.82874005929
categorical_transformer__SaleType_New,19284.25338144352
categorical_transformer__SaleType_Oth,-7408.203261136562
categorical_transformer__SaleType_WD,-11529.959549772559
categorical_transformer__SaleCondition_Abnorml,-7637.8305541230875
categorical_transformer__SaleCondition_AdjLand,15789.443943474129
categorical_transformer__SaleCondition_Alloca,5994.8679419530445
categorical_transformer__SaleCondition_Family,-5584.784366544947
categorical_transformer__SaleCondition_Normal,3406.445387723229
categorical_transformer__SaleCondition_Partial,-11968.142352509067
